Stud#;sex;Birth date ;sire;dam;birth place;current location;Date of death;Age/years;Cause of death;location 2;date;location 3;date;location 4;date;location 5;date;location 6;date;location 7;date;;;;;;;;;
394;m;Sep 70;wild;wild;UMFOLOZI;DORTMUND;31.12.2011;41,35890411;;UMFOLOZI;01.10.1970;DELFTS;25.08.1972;FLIEGENPI;20.09.1972;TURIN;02.10.1972;ZAGREB;01.03.1987;AALBORG;29.08.1997;DORTMUND;13.01.2005;;;;;;;
395;f;Sep 70;wild;wild;UMFOLOZI;ZAGREB;02.05.1996;25,68493151;unk;UMFOLOZI;01.10.1970;DELFTS;25.08.1972;FLIEGENPI;20.09.1972;SAN ROQUE;01.10.1972;TURIN;02.10.1972;ZAGREB;01.03.1987;;;;;;;;;
397;f;01.01.1972;wild;wild;UMFOLOZI;;31.12.2011;40,02465753;;UMFOLOZI;01.01.1972;FERNDALE;12.04.1976;MEMPHIS;16.04.1976;;;;;;;;;;;;;;;
399;m;12.09.1979;unk;242;RAMAT GAN;RAMAT GAN;12.09.1979;0;Injury from exhibit mate;RAMAT GAN;12.12.1979;;;;;;;;;;;;;;;;;;;
400;m;01.01.1969;wild;wild;UMFOLOZI;BURFORD;05.01.2010;41,03835616;euthanasia;UMFOLOZI;01.01.1969;DELFTS;01.03.1972;WALKING;25.04.1972;BURFORD;01.05.1972;;;;;;;;;;;;;
401;f;01.01.1969;wild;wild;UMFOLOZI;BURFORD;08.01.2003;34,04109589;euthanasia;UMFOLOZI;01.01.1969;DELFTS;01.03.1972;WALKING;25.04.1972;BURFORD;01.05.1972;;;;;;;;;;;;;
402;m;22.11.1977;169;174;ARNHEM;;01.02.1992;14,20273973;;ARNHEM;22.11.1977;GOLLEMBEK;13.12.1979;ALTHOFF C;14.12.1979;CIRC CHEN;01.01.1991;;;;;;;;;;;;;
403;f;Okt 69;wild;wild;UMFOLOZI;DORTMUND;31.12.2011;42,27671233;;UMFOLOZI;01.01.1970;DELFTS;25.08.1972;SAN ROQUE;02.10.1972;GELSNKRKN;25.02.1996;MUNSTER;29.03.1977;ERFURT;29.05.1998;SCHWERIN;06.11.2003;DORTMUND;25.10.2006;;;;;
404;m;13.06.1977;319;403;MUNSTER;CABARCENO;29.01.2003;25,64657534;unk;MUNSTER;13.06.1977;FUENGIROL;04.03.1993;CABARCENO;20.03.1993;;;;;;;;;;;;;;;
405;m;01.01.1969;wild;wild;HLUHLUWE;;31.12.2011;43,02465753;;HLUHLUWE;01.01.1969;NATAL PB;UNK;PRET LICH;09.09.1976;PUBLIC;17.07.1990;;;;;;;;;;;;;
406;f;01.01.1969;wild;wild;HLUHLUWE;;12.07.2011;42,55342466;;HLUHLUWE;01.01.1969;NATAL PB;UNK;PRET LICH;09.09.1976;;;;;;;;;;;;;;;
409;f;02.12.1975;51;148;COLUMBUS;GELSNKRKN;17.06.1979;3,542465753;unk;COLUMBUS;02.12.1975;ZEEHANDLR;01.01.1977;GELSNKRKN;25.05.1979;;;;;;;;;;;;;;;
413;m;Apr 71;wild;wild;UMFOLOZI;;31.12.2011;40,77808219;;UMFOLOZI;01.04.1971;NATAL PB;01.01.1974;KINGS ISL;25.04.1974;BENSONS;21.05.1980;KINGS ISL;21.11.1987;ASHEBORO;22.11.1987;;;;;;;;;
416;f;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.04.1971;NATAL PB;01.01.1974;KINGS ISL;25.04.1974;WILDS;12.04.1994;PHOENIX;08.10.2004;;;;;;;;;;;
418;f;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.04.1971;NATAL PB;01.01.1974;KINGS ISL;25.04.1974;WILDS;18.05.1994;;;;;;;;;;;;;
420;m;31.12.1969;wild;wild;UMFOLOZI;;24.10.1998;28,83287671;;UMFOLOZI;01.12.1970;NATAL PB;01.12.1971;GRND PRAI;31.12.1971;SD-WAP;27.10.1983;SANDIEGOZ;02.12.1987;GUADALJR;05.07.1988;JOHNSON TX;07.07.1988;GUADALJR;24.10.1998;;;;;
457;m;01.01.1972;wild;wild;UMFOLOZI;BANDHOLM;13.11.1985;13,87671233;infection, urinary mechincal abnormality;UMFOLOZI;01.11.1972;FLIEGENPI;26.04.1974;BANDHOLM;26.05.1974;;;;;;;;;;;;;;;
458;f;01.01.1969;wild;wild;UMFOLOZI;BANDHOLM;25.02.1999;30,16986301;infection;UMFOLOZI;01.11.1972;FLIEGENPI;26.04.1974;BANDHOLM;26.05.1974;;;;;;;;;;;;;;;
459;m;01.01.1969;wild;wild;UMFOLOZI;;01.12.1990;21,92876712;;UMFOLOZI;01.08.1969;SOEST;10.08.1974;TUNIS ZOO;13.09.1974;;;;;;;;;;;;;;;
460;m;01.01.1972;wild;wild;UMFOLOZI;;31.12.2011;40,02465753;;UMFOLOZI;01.08.1972;SOEST;10.08.1974;TUNIS ZOO;13.09.1974;;;;;;;;;;;;;;;
461;f;01.01.1972;wild;wild;UMFOLOZI;;31.12.2011;40,02465753;;UMFOLOZI;01.08.1972;SOEST;10.08.1974;TUNIS ZOO;13.09.1974;;;;;;;;;;;;;;;
462;f;01.01.1972;wild;wild;UMFOLOZI;;31.12.2011;40,02465753;;UMFOLOZI;01.08.1972;SOEST;10.08.1974;TUNIS ZOO;13.09.1974;;;;;;;;;;;;;;;
472;f;27.12.1977;70;103;WHIPSNADE;;14.02.1984;6,136986301;;WHIPSNADE;27.12.1977;DUBBO;17.09.1981;;;;;;;;;;;;;;;;;
476;f;11.11.1977;355;351;DVURKRALV;DVURKRALV;20.06.2007;29,62465753;euthanasia;DVURKRALV;11.11.1977;;;;;;;;;;;;;;;;;;;
485;m;15.10.1978;unk;106;WHIPSNADE;WHIPSNADE;27.01.1980;1,284931507;euthanasia;WHIPSNADE;15.10.1978;;;;;;;;;;;;;;;;;;;
486;m;24.09.1978;221;225;HILVARENB;;31.12.2011;33,29041096;;HILVARENB;24.09.1978;GRONAU;26.04.1982;KRECHTING;29.04.1982;;;;;;;;;;;;;;;
487;m;28.09.1978;244;240;RAMAT GAN;JERUSALEM;31.12.2011;33,27945205;;RAMAT GAN;28.09.1978;JERUSALEM;09.09.2003;;;;;;;;;;;;;;;;;
488;f;22.11.1978;221;224;HILVARENB;HILVARENB;15.12.1980;2,065753425;unk;HILVARENB;22.11.1978;;;;;;;;;;;;;;;;;;;
489;f;30.06.1978;70;102;WHIPSNADE;WHIPSNADE;15.12.1980;2,463013699;;WHIPSNADE;30.06.1978;;;;;;;;;;;;;;;;;;;
490;m;29.04.1979;89;105;WHIPSNADE;WHIPSNADE;27.01.1980;0,747945205;unk;WHIPSNADE;29.04.1979;;;;;;;;;;;;;;;;;;;
491;m;01.01.1957;wild;wild;UMFOLOZI;HODENHAGN;29.10.2011;54,86027397;old age;UMFOLOZI;UNK;NATAL PB;01.08.1974;HODENHAGN;03.08.1974;;;;;;;;;;;;;;;
492;m;01.01.1957;wild;wild;UMFOLOZI;;31.12.2011;55,03287671;;UMFOLOZI;01.01.1970;HODENHAGEN;03.08.1972;KRECHTING;04.08.1981;GRONAU;01.10.1986;RIYADH;11.10.1986;;;;;;;;;;;
493;m;13.11.1978;193;494;HODENHAGN;;01.12.1989;11,05753425;;HODENHAGN;13.11.1978;KRECHTING;04.08.1981;BELPASSO;01.11.1986;GRONAU;25.10.1988;BELPASSO;01.11.1988;;;;;;;;;;;
494;f;01.01.1969;wild;wild;UMFOLOZI;;31.12.2011;43,02465753;;UMFOLOZI;01.01.1969;HODENHAGEN;03.08.1974;;;;;;;;;;;;;;;;;
495;f;01.01.1970;wild;wild;UMFOLOZI;;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;HODENHAGEN;03.08.1974;GELSNKRKN;15.04.1980;GENK;08.05.1980;BELGIUM;01.05.1985;;;;;;;;;;;
496;f;01.01.1969;wild;wild;UMFOLOZI;;31.12.2011;43,02465753;;UMFOLOZI;01.08.1969;HODENHAGEN;03.08.1974;;;;;;;;;;;;;;;;;
497;m;26.07.1979;MULT;241;RAMAT GAN;RAMAT GAN;31.12.2011;32,45479452;;RAMAT GAN;26.07.1979;;;;;;;;;;;;;;;;;;;
504;f;26.09.1979;89;104;WHIPSNADE;KESSINGLA;31.12.2011;32,28493151;;WHIPSNADE;26.09.1979;PAIGNTON;30.06.1981;KESSINGLA;01.02.2002;;;;;;;;;;;;;;;
505;m;01.01.1975;wild;wild;UMFOLOZI;PT ST PER;31.12.2011;37,02191781;;UMFOLOZI;09.06.1975;DELFTS;09.05.1978;KRECHTING;09.06.1978;HEIDELBRG;26.03.1980;PT ST PER;03.09.2009;;;;;;;;;;;
506;f;01.01.1975;wild;wild;UMFOLOZI;KESSINGLA;24.04.2003;28,32876712;unk;UMFOLOZI;09.06.1975;DELFTS;09.05.1978;KRECHTING;09.06.1978;HEIDELBRG;26.03.1980;KESSINGLA;11.09.2001;;;;;;;;;;;
507;f;01.01.1975;wild;wild;UMFOLOZI;KRECHTING;01.04.1981;6,252054795;unk;UMFOLOZI;01.06.1975;DELFTS;09.06.1978;KRECHTING;09.06.1978;;;;;;;;;;;;;;;
508;m;01.01.1974;wild;wild;UMFOLOZI;;31.12.2011;38,02191781;;UMFOLOZI;01.08.1974;DELFTS;09.05.1978;KRECHTING;09.06.1978;EINBECK;01.08.1978;;;;;;;;;;;;;
509;m;23.09.1979;340;403;MUNSTER;MUNSTER;24.01.1980;0,336986301;Musculoskeletal Bacterial infection;MUNSTER;23.09.1979;;;;;;;;;;;;;;;;;;;
512;f;01.01.1970;wild;wild;UMFOLOZI;;31.12.2011;42,02465753;;UMFOLOZI;01.08.1970;NATAL PB;01.10.1971;SOEST;24.09.1972;FLIEGENPI;30.09.1972;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;KOBE PARK;20.09.1978;;;;;;;
513;m;01.01.1970;wild;wild;UMFOLOZI;;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;NATAL PB;01.02.1973;DELFTS;28.02.1973;FLIEGENPI;13.03.1973;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;KOBE PARK;20.09.1978;;;;;;;
519;m;01.01.1970;wild;wild;UMFOLOZI;;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;DELFTS;27.02.1973;FLIEGENPI;13.03.1973;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;SHIRAHAMA;23.02.1978;BANGKOK;16.09.1981;KHORAT;16.08.1994;;;;;
520;f;01.01.1970;wild;wild;UMFOLOZI;;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;SOEST;24.08.1972;FLIEGENPI;30.09.1972;MIYAZAK;30.08.1975;SHIRAHAMA;23.02.1978;BANGKOK;16.09.1981;KHORAT;16.07.1994;;;;;;;
521;m;01.01.1970;wild;wild;UMFOLOZI;;11.03.1986;16,2;;UMFOLOZI;01.08.1970;NATAL PB;01.02.1973;DELFTS;28.02.1973;FLIEGENPI;13.03.1973;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;KAMO GUN;17.11.1985;;;;;;;
522;m;01.01.1970;wild;wild;UMFOLOZI;;29.09.1978;8,747945205;;UMFOLOZI;01.08.1970;SOEST;24.09.1972;FLIEGENPI;30.09.1972;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;;;;;;;;;;;
523;f;01.01.1968;wild;wild;UMFOLOZI;;31.12.2011;44,02739726;;UMFOLOZI;01.08.1968;SOEST;24.09.1972;FLIEGENPI;30.09.1972;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;NISHISONO;22.03.1983;;;;;;;;;
524;f;Apr 70;wild;wild;UMFOLOZI;;26.10.1986;16,58082192;;UMFOLOZI;01.08.1970;DELFTS;27.08.1972;FLIEGENPI;30.09.1972;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;YOSHIKAWA;20.10.1986;SHENYANG;26.10.1986;;;;;;;
525;f;01.01.1970;wild;wild;UMFOLOZI;;28.12.1995;26,00547945;;UMFOLOZI;01.01.1970;DELFTS;27.08.1972;FLIEGENPI;30.09.1972;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;KAMO GUN;17.11.1985;;;;;;;;;
526;f;01.01.1970;wild;wild;UMFOLOZI;;01.05.1993;23,34520548;;UMFOLOZI;01.01.1970;DELFTS;27.08.1972;FLIEGENPI;30.09.1972;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;YOSHIKAWA;18.04.1987;SHANGHAI;25.04.1987;;;;;;;
527;f;01.01.1971;wild;wild;UMFOLOZI;;31.12.2011;41,02465753;;UMFOLOZI;01.01.1970;NATAL PB;01.02.1973;DELFTS;28.02.1973;FLIEGENPI;13.03.1973;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;SHANGHAI;25.04.1987;;;;;;;
528;f;01.01.1972;wild;wild;UMFOLOZI;;31.12.2011;40,02465753;;UMFOLOZI;01.01.1970;DELFTS;27.08.1972;FLIEGENPI;30.09.1972;SAN ROQUE;10.01.1975;MIYAZAK;30.08.1975;YOSHIKAWA;05.05.1987;;;;;;;;;
530;f;04.04.1978;111;211;DVURKRALV;VESZPREM;24.01.1982;3,810958904;unk;DVURKRALV;04.04.1978;VESZPREM;26.07.1979;;;;;;;;;;;;;;;;;
531;m;16.12.1978;111;210;DVURKRALV;COULANGE;13.11.2008;29,93150685;anesth/restraint, digestive enervation;DVURKRALV;16.12.1978;WROCLAW;01.10.1980;COULANGE;03.07.2007;;;;;;;;;;;;;;;
532;m;19.12.1979;70;103;WHIPSNADE;ARNHEM;14.01.2007;27,09041096;unk;WHIPSNADE;19.12.1979;PAIGNTON;30.07.1981;ARNHEM;20.10.1998;;;;;;;;;;;;;;;
533;f;05.03.1979;390;391;JACKSONVL;;31.12.2011;32,84657534;;JACKSONVL;05.03.1979;YULEE;12.04.1989;DISNEY AK;14.10.1998;FORTWORTH;04.04.2003;INDIANAPL;15.04.2008;;;;;;;;;;;
534;m;02.09.1977;52;159;SD-WAP;VESZPREM;31.12.2011;34,35068493;;SD-WAP;02.09.1977;SANJOSECA;09.09.1977;SAFARI GAN;09.06.1979;BORDI G;25.01.1984;TOGNI C;14.08.1988;VALBREMBO;26.02.1991;SAFARI GAN;01.01.1992;HODENHAGN;01.03.2005;VESZPREM;28.06.2007;;;
549;m;22.05.1979;180;182;SAN ANTON;MOSCOW;05.12.1980;1,542465753;cardiovascular circulatory;SAN ANTON;22.05.1979;MOSCOW;24.10.1979;;;;;;;;;;;;;;;;;
551;f;Jul 70;wild;wild;UMFOLOZI;;07.05.1998;27,86849315;;UMFOLOZI;01.07.1970;DELFTS;05.04.1972;FLIEGENPI;12.05.1972;KALINIGR;05.07.1972;;;;;;;;;;;;;
552;m;01.01.1970;wild;wild;UMFOLOZI;KYIV;19.03.1974;4,21369863;unk;UMFOLOZI;01.07.1970;DELFTS;05.04.1972;FLIEGENPI;12.05.1972;KALINIGR;05.07.1972;;;;;;;;;;;;;
553;f;01.01.1970;wild;wild;UMFOLOZI;KYIV;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;GELSNKRKN;12.05.1972;ZOO OBJED;05.10.1972;KYIV ZOO;13.10.1972;;;;;;;;;;;;;
554;m;01.01.1968;wild;wild;UMFOLOZI;;31.12.2011;44,02739726;;UMFOLOZI;01.08.1968;GELSNKRKN;30.06.1973;ZOO OBJED;11.08.1973;ROSTOV;12.08.1973;;;;;;;;;;;;;
555;f;01.01.1967;wild;wild;UMFOLOZI;;31.12.2011;45,02739726;;UMFOLOZI;01.01.1967;GELSNKRKN;30.06.1973;ZOO OBJED;11.08.1973;ROSTOV;12.08.1973;;;;;;;;;;;;;
556;m;01.01.1975;wild;wild;HLUHLUWE;;14.08.1995;20,63013699;;HLUHLUWE;01.11.1975;OKAHANDJA;02.01.1977;FASANO;10.11.1977;;;;;;;;;;;;;;;
557;f;01.01.1975;wild;wild;UMFOLOZI;;06.06.2007;32,44931507;;UMFOLOZI;01.11.1975;OKAHANDJA;02.01.1977;BELPASSO;01.11.1988;VALBREMBO;15.06.2001;;;;;;;;;;;;;
559;m;01.01.1968;wild;wild;UMFOLOZI;;31.12.2011;44,02739726;;UMFOLOZI;04.10.1968;W PALM BE;03.10.1972;;;;;;;;;;;;;;;;;
563;f;01.01.1966;wild;wild;UMFOLOZI;;31.12.2011;46,02739726;;UMFOLOZI;01.08.1966;W PALM BE;03.08.1972;;;;;;;;;;;;;;;;;
571;m;16.01.1978;93;141;COPENHAGE;GIVSKUD;29.10.1980;2,78630137;Given to an institution, cardiovascular trauma;COPENHAGE;16.01.1978;GIVSKUD;14.05.1979;;;;;;;;;;;;;;;;;
572;m;17.01.1979;93;140;COPENHAGE;;14.05.1988;9,328767123;;COPENHAGE;17.01.1979;GELSNKRKN;22.04.1980;GANSRNDRF;09.05.1980;BROOKER J;13.05.1988;;;;;;;;;;;;;
577;m;15.04.1979;116;120;LONGLEAT;BIOPARCVA;31.12.2011;32,73424658;;LONGLEAT;15.04.1979;VALENCIA;22.03.1984;BIOPARCVA;07.08.2007;;;;;;;;;;;;;;;
578;m;28.07.1979;116;119;LONGLEAT;THOIRY;31.12.2011;32,44931507;;LONGLEAT;28.07.1979;SOEST;16.05.1983;BUDAPEST;19.05.1983;THOIRY;14.11.2010;;;;;;;;;;;;;
581;m;12.06.1980;492;496;HODENHAGN;;31.12.2011;31,57260274;;HODENHAGN;12.06.1980;FLIEGENPI;20.05.1985;TRIPOLI;22.05.1985;;;;;;;;;;;;;;;
583;f;26.01.1980;180;181;SAN ANTON;SCHWERIN;03.09.2002;22,61917808;infection;SAN ANTON;26.01.1980;SCHWERIN;20.11.1980;;;;;;;;;;;;;;;;;
588;m;01.12.1979;618;620;KNOXVILLE;;11.07.1980;0,610958904;;KNOXVILLE;01.12.1979;ZEEHANDLR;08.07.1980;WINGST ZO;10.07.1980;;;;;;;;;;;;;;;
589;m;11.12.1979;413;418;KINGS ISL;SCHWERIN;09.08.2004;24,67945205;infection;KINGS ISL;11.12.1979;ZEEHANDLR;25.08.1980;L RUHE;27.08.1980;SCHWERIN;22.12.1980;;;;;;;;;;;;;
590;f;05.09.1980;413;416;KINGS ISL;;31.12.2011;31,33972603;;KINGS ISL;05.09.1980;ZEEHANDLR;31.03.1981;WINGST ZO;02.04.1981;GELSNKRKN;24.07.1981;LA PLATA;24.08.1981;;;;;;;;;;;
600;m;21.09.1980;70;106;WHIPSNADE;;31.12.2011;31,29589041;;WHIPSNADE;21.08.1980;WERRIBEE;19.10.1981;;;;;;;;;;;;;;;;;
607;f;01.01.1970;wild;wild;UMFOLOZI;COLCHESTR;31.12.2011;42,02465753;;UMFOLOZI;01.01.1970;DELFTS;25.02.1972;COLCHESTR;01.04.1972;;;;;;;;;;;;;;;
614;f;06.11.1980;70;102;WHIPSNADE;;25.12.2004;24,15068493;;WHIPSNADE;06.11.1980;WERRIBEE;19.10.1981;DUBBO;26.07.1989;;;;;;;;;;;;;;;
618;m;Mrz 67;wild;wild;UMFOLOZI;;31.12.2011;44,86575342;;UMFOLOZI;01.04.1967;W PALM BE;06.03.1972;KNOXVILLE;14.08.1974;BATONROUG;17.05.1988;FOSSILRIM;05.11.1996;;;;;;;;;;;
620;f;01.01.1966;wild;wild;UMFOLOZI;;31.12.2011;46,02739726;;UMFOLOZI;01.03.1966;W PALM BE;06.03.1972;BRADENTON;10.08.1974;KNOXVILLE;14.08.1974;BROWNSVIL;19.05.1988;;;;;;;;;;;
627;m;03.03.1981;40;397;MEMPHIS;ERFURT;31.12.2011;30,84931507;;MEMPHIS;03.03.1981;FREILASSI;01.09.1981;ERFURT;25.02.1982;;;;;;;;;;;;;;;
628;m;28.12.1980;221;225;HILVARENB;;31.12.2011;31,02739726;;HILVARENB;28.12.1980;GRONAU;26.04.1982;KRECHTING;29.04.1982;;;;;;;;;;;;;;;
629;m;13.01.1981;221;224;HILVARENB;;13.01.1981;0;Euthanasia;HILVARENB;13.01.1981;;;;;;;;;;;;;;;;;;;
630;m;08.06.1980;373;351;DVURKRALV;;31.12.2011;31,58356164;;DVURKRALV;08.06.1980;KENYA;19.12.2009;;;;;;;;;;;;;;;;;
640;m;05.04.1981;unk;241;RAMAT GAN;;31.12.2011;30,75890411;;RAMAT GAN;05.04.1981;BROOKER J;10.08.1988;MICA HOPE;20.08.1988;;;;;;;;;;;;;;;
641;f;27.02.1981;MULT;242;RAMAT GAN;RAMAT GAN;31.12.2011;30,86027397;;RAMAT GAN;27.04.1981;;;;;;;;;;;;;;;;;;;
643;f;22.04.1981;167;174;ARNHEM;EMMEN;31.12.2011;30,71232877;;ARNHEM;22.04.1981;EMMEN;14.06.2004;;;;;;;;;;;;;;;;;
644;m;04.10.1979;169;230;ARNHEM;ARNHEM;09.10.1979;0,01369863;unk;ARNHEM;04.10.1979;;;;;;;;;;;;;;;;;;;
645;m;26.05.1981;193;495;GENK;;31.12.2011;30,61917808;;GENK;26.05.1981;AITANA;15.01.1998;;;;;;;;;;;;;;;;;
648;f;11.11.1980;52;157;SD-WAP;;31.12.2011;31,15616438;;SD-WAP;11.11.1980;ZEEHANDLR;15.07.1981;WINGST ZO;16.07.1981;HAVANA;21.10.1981;;;;;;;;;;;;;
649;f;12.11.1980;52;150;SD-WAP;PEAUGRES;03.01.2011;30,16164384;unk;SD-WAP;12.11.1980;ZEEHANDLR;15.07.1981;L RUHE;16.07.1981;ERFURT;25.02.1982;LILLE ZO;14.05.2003;PEAUGRES;20.12.2006;;;;;;;;;
651;f;19.10.1979;139;97;EDINBURGH;LISIEUX Z;31.12.2011;32,22191781;;EDINBURGH;19.10.1979;WHIPSNADE;19.10.1979;PARIS ZOO;28.10.1981;LISIEUX Z;28.02.2003;;;;;;;;;;;;;
652;f;25.08.1981;117;120;LONGLEAT;GIVSKUD;31.12.2011;30,36986301;;LONGLEAT;25.08.1981;GIVSKUD;10.10.1982;;;;;;;;;;;;;;;;;
653;f;28.09.1981;117;119;LONGLEAT;SCHWERIN;31.12.2011;30,27671233;;LONGLEAT;28.09.1981;GIVSKUD;10.10.1982;SCHWERIN;08.07.2010;;;;;;;;;;;;;;;
654;f;12.10.1981;70;105;WHIPSNADE;WHIPSNADE;31.12.2011;30,23835616;;WHIPSNADE;12.10.1981;LAGUNA HIT;09.07.1981;GELSNKRKN;17.05.1982;BORDI G;02.03.1984;;;;;;;;;;;;;
665;f;23.11.1981;70;103;WHIPSNADE;WHIPSNADE;04.01.1984;2,115068493;unk;WHIPSNADE;23.11.1981;;;;;;;;;;;;;;;;;;;
669;m;08.12.1981;340;403;MUNSTER;BRATISLAV;31.12.2011;30,08219178;;MUNSTER;08.12.1981;LIBEREC;13.03.1984;BRATISLAV;04.12.2002;;;;;;;;;;;;;;;
670;m;Okt 70;wild;wild;UMFOLOZI;;06.12.1986;16,19178082;;UMFOLOZI;01.01.1970;DELFTS;25.10.1970;QUEXIGAL;02.10.1972;MADRID Z;01.10.1979;SOEST;30.04.1982;CAIRO ZOO;16.05.1982;;;;;;;;;
671;f;01.01.1970;wild;wild;UMFOLOZI;;14.12.1994;24,96712329;;UMFOLOZI;01.10.1970;DELFTS;25.08.1972;DELFTS;02.10.1972;MADRID Z;01.10.1979;SOEST;30.04.1982;CAIRO ZOO;16.05.1982;;;;;;;;;
676;m;31.12.1981;618;620;KNOXVILLE;SALZBURG;31.12.2011;30,01917808;;KNOXVILLE;31.12.1981;ZEEHANDLR;14.07.1982;GELSNKRKN;21.07.1982;FLIEGENPI;22.07.1988;HALLE;06.03.1984;LEIPZIG;26.10.1988;SALZBURG;23.10.1991;;;;;;;
684;m;13.04.1981;111;211;KATOWICE;GDANSK;21.03.1986;4,939726027;unk;KATOWICE;13.04.1981;GDANSK;13.05.1983;;;;;;;;;;;;;;;;;
701;m;16.11.1981;52;277;SD-WAP;;14.05.1988;6,495890411;;SD-WAP;16.11.1981;ZEEHANDLR;07.07.1982;GELSNKRKN;08.07.1982;BROOKER J;13.05.1988;;;;;;;;;;;;;
708;m;25.10.1982;70;106;WHIPSNADE;WHIPSNADE;26.10.1982;0,002739726;euthanasia, musculoskeletal mechanical abnormality;WHIPSNADE;25.10.1982;;;;;;;;;;;;;;;;;;;
709;m;26.08.1982;491;496;HODENHAGN;HODENHAGN;15.02.1983;0,473972603;unk;HODENHAGN;26.08.1982;;;;;;;;;;;;;;;;;;;
711;m;20.01.1980;459;461;TUNIS ZOO;;31.12.2011;31,96712329;;TUNIS ZOO;20.01.1980;;;;;;;;;;;;;;;;;;;
712;m;13.11.1977;355;352;KNOWSLEY;;24.01.2000;22,2109589;;KNOWSLEY;13.11.1977;WHIPSNADE;05.05.1988;KNOWSLEY;16.06.1988;LONGLEAT;01.07.1988;AALBORG;23.03.1990;GIVSKUD;08.08.1990;ONGAVA;18.01.1994;;;;;;;
715;m;11.01.1981;76;291;ANTWERP;;18.12.1983;2,934246575;;ANTWERP;11.01.1981;KINSHASA;18.05.1983;;;;;;;;;;;;;;;;;
716;f;01.01.1972;wild;wild;UMFOLOZI;;31.12.2011;40,02465753;;UMFOLOZI;01.01.1972;HODENHAGEN;03.08.1974;SOEST;01.04.1977;RABAT;05.04.1977;;;;;;;;;;;;;
717;m;01.01.1972;wild;wild;UMFOLOZI;;31.12.2011;40,02465753;;UMFOLOZI;01.01.1972;HODENHAGEN;03.08.1974;KRECHTING;25.03.1977;SOEST;01.04.1977;RABAT;05.04.1977;;;;;;;;;;;
749;m;03.09.1982;139;97;EDINBURGH;;31.12.2011;29,34520548;;EDINBURGH;03.09.1982;WHIPSNADE;03.09.1982;DOHO ZOO;05.12.1983;;;;;;;;;;;;;;;
761;m;03.12.1982;70;104;WHIPSNADE;;31.12.2011;29,09589041;;WHIPSNADE;03.12.1982;DOHO ZOO;05.12.1983;;;;;;;;;;;;;;;;;
766;m;21.11.1982;unk;241;RAMAT GAN;;31.12.2011;29,12876712;;RAMAT GAN;21.11.1982;BROOKER J;24.12.1989;OLIFANTS;01.03.1990;;;;;;;;;;;;;;;
767;f;25.12.1982;221;225;HILVARENB;LA PALMYR;31.12.2011;29,03561644;;HILVARENB;25.12.1982;LA PALMYR;23.06.1984;;;;;;;;;;;;;;;;;
770;m;02.03.1983;70;102;WHIPSNADE;LA PALMYR;03.01.2008;24,85753425;environ/behav;WHIPSNADE;02.03.1983;LA PALMYR;22.06.1984;;;;;;;;;;;;;;;;;
773;f;24.10.1982;52;159;SD-WAP;SALZBURG;31.12.2011;29,20547945;;SD-WAP;24.10.1982;L RUHE;UNK;HALLE;23.04.1985;BERLIN TP;16.07.1992;SALZBURG;20.12.1999;;;;;;;;;;;
779;h;13.08.1983;491;494;HODENHAGN;;31.12.2011;28,40273973;;HODENHAGN;13.08.1983;GELSNKRKN;22.05.1985;TRIPOLI;22.05.1985;;;;;;;;;;;;;;;
785;f;01.01.1965;wild;wild;UMFOLOZI;;01.02.1997;32,10684932;;UMFOLOZI;01.01.1966;FLIEGENPI;12.05.1972;SAN ROQUE;04.10.1983;GENK;29.01.1983;;;;;;;;;;;;;
786;m;07.02.1984;unk;242;RAMAT GAN;RAMAT GAN;07.02.1984;0;Injury from exhibit mate;RAMAT GAN;07.02.1984;;;;;;;;;;;;;;;;;;;
787;f;13.12.1987;unk;641;RAMAT GAN;RAMAT GAN;20.12.1987;0,019178082;Injury from exhibit mate;RAMAT GAN;13.12.1987;;;;;;;;;;;;;;;;;;;
789;f;15.11.1983;372;351;DVURKRALV;;31.12.2011;28,14520548;;DVURKRALV;15.11.1983;;;;;;;;;;;;;;;;;;;
796;m;23.03.1984;221;224;HILVARENB;LA PALMYR;31.12.2011;27,79178082;;HILVARENB;23.03.1984;LA PALMYR;29.11.1985;LILLE ZO;20.11.1997;PEAUGRES;20.12.2006;LA PALMYR;20.02.2008;;;;;;;;;;;
